version,book,number,id
1,1,1,1
1,1,2,2
1,1,3,3
1,1,4,4
1,1,5,5
1,1,6,6
1,1,7,7
1,1,8,8
1,1,9,9
1,1,10,10
1,1,11,11
1,1,12,12
1,1,13,13
1,1,14,14
1,1,15,15
1,1,16,16
1,1,17,17
1,1,18,18
1,1,19,19
1,1,20,20
1,1,21,21
1,1,22,22
1,1,23,23
1,1,24,24
1,1,25,25
1,1,26,26
1,1,27,27
1,1,28,28
1,1,29,29
1,1,30,30
1,1,31,31
1,1,32,32
1,1,33,33
1,1,34,34
1,1,35,35
1,1,36,36
1,1,37,37
1,1,38,38
1,1,39,39
1,1,40,40
1,1,41,41
1,1,42,42
1,1,43,43
1,1,44,44
1,1,45,45
1,1,46,46
1,1,47,47
1,1,48,48
1,1,49,49
1,1,50,50
1,2,1,51
1,2,2,52
1,2,3,53
1,2,4,54
1,2,5,55
1,2,6,56
1,2,7,57
1,2,8,58
1,2,9,59
1,2,10,60
1,2,11,61
1,2,12,62
1,2,13,63
1,2,14,64
1,2,15,65
1,2,16,66
1,2,17,67
1,2,18,68
1,2,19,69
1,2,20,70
1,2,21,71
1,2,22,72
1,2,23,73
1,2,24,74
1,2,25,75
1,2,26,76
1,2,27,77
1,2,28,78
1,2,29,79
1,2,30,80
1,2,31,81
1,2,32,82
1,2,33,83
1,2,34,84
1,2,35,85
1,2,36,86
1,2,37,87
1,2,38,88
1,2,39,89
1,2,40,90
1,3,1,91
1,3,2,92
1,3,3,93
1,3,4,94
1,3,5,95
1,3,6,96
1,3,7,97
1,3,8,98
1,3,9,99
1,3,10,100
1,3,11,101
1,3,12,102
1,3,13,103
1,3,14,104
1,3,15,105
1,3,16,106
1,3,17,107
1,3,18,108
1,3,19,109
1,3,20,110
1,3,21,111
1,3,22,112
1,3,23,113
1,3,24,114
1,3,25,115
1,3,26,116
1,3,27,117
1,4,1,118
1,4,2,119
1,4,3,120
1,4,4,121
1,4,5,122
1,4,6,123
1,4,7,124
1,4,8,125
1,4,9,126
1,4,10,127
1,4,11,128
1,4,12,129
1,4,13,130
1,4,14,131
1,4,15,132
1,4,16,133
1,4,17,134
1,4,18,135
1,4,19,136
1,4,20,137
1,4,21,138
1,4,22,139
1,4,23,140
1,4,24,141
1,4,25,142
1,4,26,143
1,4,27,144
1,4,28,145
1,4,29,146
1,4,30,147
1,4,31,148
1,4,32,149
1,4,33,150
1,4,34,151
1,4,35,152
1,4,36,153
1,5,1,154
1,5,2,155
1,5,3,156
1,5,4,157
1,5,5,158
1,5,6,159
1,5,7,160
1,5,8,161
1,5,9,162
1,5,10,163
1,5,11,164
1,5,12,165
1,5,13,166
1,5,14,167
1,5,15,168
1,5,16,169
1,5,17,170
1,5,18,171
1,5,19,172
1,5,20,173
1,5,21,174
1,5,22,175
1,5,23,176
1,5,24,177
1,5,25,178
1,5,26,179
1,5,27,180
1,5,28,181
1,5,29,182
1,5,30,183
1,5,31,184
1,5,32,185
1,5,33,186
1,5,34,187
1,6,1,188
1,6,2,189
1,6,3,190
1,6,4,191
1,6,5,192
1,6,6,193
1,6,7,194
1,6,8,195
1,6,9,196
1,6,10,197
1,6,11,198
1,6,12,199
1,6,13,200
1,6,14,201
1,6,15,202
1,6,16,203
1,6,17,204
1,6,18,205
1,6,19,206
1,6,20,207
1,6,21,208
1,6,22,209
1,6,23,210
1,6,24,211
1,7,1,212
1,7,2,213
1,7,3,214
1,7,4,215
1,7,5,216
1,7,6,217
1,7,7,218
1,7,8,219
1,7,9,220
1,7,10,221
1,7,11,222
1,7,12,223
1,7,13,224
1,7,14,225
1,7,15,226
1,7,16,227
1,7,17,228
1,7,18,229
1,7,19,230
1,7,20,231
1,7,21,232
1,8,1,233
1,8,2,234
1,8,3,235
1,8,4,236
1,9,1,237
1,9,2,238
1,9,3,239
1,9,4,240
1,9,5,241
1,9,6,242
1,9,7,243
1,9,8,244
1,9,9,245
1,9,10,246
1,9,11,247
1,9,12,248
1,9,13,249
1,9,14,250
1,9,15,251
1,9,16,252
1,9,17,253
1,9,18,254
1,9,19,255
1,9,20,256
1,9,21,257
1,9,22,258
1,9,23,259
1,9,24,260
1,9,25,261
1,9,26,262
1,9,27,263
1,9,28,264
1,9,29,265
1,9,30,266
1,9,31,267
1,10,1,268
1,10,2,269
1,10,3,270
1,10,4,271
1,10,5,272
1,10,6,273
1,10,7,274
1,10,8,275
1,10,9,276
1,10,10,277
1,10,11,278
1,10,12,279
1,10,13,280
1,10,14,281
1,10,15,282
1,10,16,283
1,10,17,284
1,10,18,285
1,10,19,286
1,10,20,287
1,10,21,288
1,10,22,289
1,10,23,290
1,10,24,291
1,11,1,292
1,11,2,293
1,11,3,294
1,11,4,295
1,11,5,296
1,11,6,297
1,11,7,298
1,11,8,299
1,11,9,300
1,11,10,301
1,11,11,302
1,11,12,303
1,11,13,304
1,11,14,305
1,11,15,306
1,11,16,307
1,11,17,308
1,11,18,309
1,11,19,310
1,11,20,311
1,11,21,312
1,11,22,313
1,12,1,314
1,12,2,315
1,12,3,316
1,12,4,317
1,12,5,318
1,12,6,319
1,12,7,320
1,12,8,321
1,12,9,322
1,12,10,323
1,12,11,324
1,12,12,325
1,12,13,326
1,12,14,327
1,12,15,328
1,12,16,329
1,12,17,330
1,12,18,331
1,12,19,332
1,12,20,333
1,12,21,334
1,12,22,335
1,12,23,336
1,12,24,337
1,12,25,338
1,13,1,339
1,13,2,340
1,13,3,341
1,13,4,342
1,13,5,343
1,13,6,344
1,13,7,345
1,13,8,346
1,13,9,347
1,13,10,348
1,13,11,349
1,13,12,350
1,13,13,351
1,13,14,352
1,13,15,353
1,13,16,354
1,13,17,355
1,13,18,356
1,13,19,357
1,13,20,358
1,13,21,359
1,13,22,360
1,13,23,361
1,13,24,362
1,13,25,363
1,13,26,364
1,13,27,365
1,13,28,366
1,13,29,367
1,14,1,368
1,14,2,369
1,14,3,370
1,14,4,371
1,14,5,372
1,14,6,373
1,14,7,374
1,14,8,375
1,14,9,376
1,14,10,377
1,14,11,378
1,14,12,379
1,14,13,380
1,14,14,381
1,14,15,382
1,14,16,383
1,14,17,384
1,14,18,385
1,14,19,386
1,14,20,387
1,14,21,388
1,14,22,389
1,14,23,390
1,14,24,391
1,14,25,392
1,14,26,393
1,14,27,394
1,14,28,395
1,14,29,396
1,14,30,397
1,14,31,398
1,14,32,399
1,14,33,400
1,14,34,401
1,14,35,402
1,14,36,403
1,15,1,404
1,15,2,405
1,15,3,406
1,15,4,407
1,15,5,408
1,15,6,409
1,15,7,410
1,15,8,411
1,15,9,412
1,15,10,413
1,16,1,414
1,16,2,415
1,16,3,416
1,16,4,417
1,16,5,418
1,16,6,419
1,16,7,420
1,16,8,421
1,16,9,422
1,16,10,423
1,16,11,424
1,16,12,425
1,16,13,426
1,17,1,427
1,17,2,428
1,17,3,429
1,17,4,430
1,17,5,431
1,17,6,432
1,17,7,433
1,17,8,434
1,17,9,435
1,17,10,436
1,18,1,437
1,18,2,438
1,18,3,439
1,18,4,440
1,18,5,441
1,18,6,442
1,18,7,443
1,18,8,444
1,18,9,445
1,18,10,446
1,18,11,447
1,18,12,448
1,18,13,449
1,18,14,450
1,18,15,451
1,18,16,452
1,18,17,453
1,18,18,454
1,18,19,455
1,18,20,456
1,18,21,457
1,18,22,458
1,18,23,459
1,18,24,460
1,18,25,461
1,18,26,462
1,18,27,463
1,18,28,464
1,18,29,465
1,18,30,466
1,18,31,467
1,18,32,468
1,18,33,469
1,18,34,470
1,18,35,471
1,18,36,472
1,18,37,473
1,18,38,474
1,18,39,475
1,18,40,476
1,18,41,477
1,18,42,478
1,19,1,479
1,19,2,480
1,19,3,481
1,19,4,482
1,19,5,483
1,19,6,484
1,19,7,485
1,19,8,486
1,19,9,487
1,19,10,488
1,19,11,489
1,19,12,490
1,19,13,491
1,19,14,492
1,19,15,493
1,19,16,494
1,19,17,495
1,19,18,496
1,19,19,497
1,19,20,498
1,19,21,499
1,19,22,500
1,19,23,501
1,19,24,502
1,19,25,503
1,19,26,504
1,19,27,505
1,19,28,506
1,19,29,507
1,19,30,508
1,19,31,509
1,19,32,510
1,19,33,511
1,19,34,512
1,19,35,513
1,19,36,514
1,19,37,515
1,19,38,516
1,19,39,517
1,19,40,518
1,19,41,519
1,19,42,520
1,19,43,521
1,19,44,522
1,19,45,523
1,19,46,524
1,19,47,525
1,19,48,526
1,19,49,527
1,19,50,528
1,19,51,529
1,19,52,530
1,19,53,531
1,19,54,532
1,19,55,533
1,19,56,534
1,19,57,535
1,19,58,536
1,19,59,537
1,19,60,538
1,19,61,539
1,19,62,540
1,19,63,541
1,19,64,542
1,19,65,543
1,19,66,544
1,19,67,545
1,19,68,546
1,19,69,547
1,19,70,548
1,19,71,549
1,19,72,550
1,19,73,551
1,19,74,552
1,19,75,553
1,19,76,554
1,19,77,555
1,19,78,556
1,19,79,557
1,19,80,558
1,19,81,559
1,19,82,560
1,19,83,561
1,19,84,562
1,19,85,563
1,19,86,564
1,19,87,565
1,19,88,566
1,19,89,567
1,19,90,568
1,19,91,569
1,19,92,570
1,19,93,571
1,19,94,572
1,19,95,573
1,19,96,574
1,19,97,575
1,19,98,576
1,19,99,577
1,19,100,578
1,19,101,579
1,19,102,580
1,19,103,581
1,19,104,582
1,19,105,583
1,19,106,584
1,19,107,585
1,19,108,586
1,19,109,587
1,19,110,588
1,19,111,589
1,19,112,590
1,19,113,591
1,19,114,592
1,19,115,593
1,19,116,594
1,19,117,595
1,19,118,596
1,19,119,597
1,19,120,598
1,19,121,599
1,19,122,600
1,19,123,601
1,19,124,602
1,19,125,603
1,19,126,604
1,19,127,605
1,19,128,606
1,19,129,607
1,19,130,608
1,19,131,609
1,19,132,610
1,19,133,611
1,19,134,612
1,19,135,613
1,19,136,614
1,19,137,615
1,19,138,616
1,19,139,617
1,19,140,618
1,19,141,619
1,19,142,620
1,19,143,621
1,19,144,622
1,19,145,623
1,19,146,624
1,19,147,625
1,19,148,626
1,19,149,627
1,19,150,628
1,20,1,629
1,20,2,630
1,20,3,631
1,20,4,632
1,20,5,633
1,20,6,634
1,20,7,635
1,20,8,636
1,20,9,637
1,20,10,638
1,20,11,639
1,20,12,640
1,20,13,641
1,20,14,642
1,20,15,643
1,20,16,644
1,20,17,645
1,20,18,646
1,20,19,647
1,20,20,648
1,20,21,649
1,20,22,650
1,20,23,651
1,20,24,652
1,20,25,653
1,20,26,654
1,20,27,655
1,20,28,656
1,20,29,657
1,20,30,658
1,20,31,659
1,21,1,660
1,21,2,661
1,21,3,662
1,21,4,663
1,21,5,664
1,21,6,665
1,21,7,666
1,21,8,667
1,21,9,668
1,21,10,669
1,21,11,670
1,21,12,671
1,22,1,672
1,22,2,673
1,22,3,674
1,22,4,675
1,22,5,676
1,22,6,677
1,22,7,678
1,22,8,679
1,23,1,680
1,23,2,681
1,23,3,682
1,23,4,683
1,23,5,684
1,23,6,685
1,23,7,686
1,23,8,687
1,23,9,688
1,23,10,689
1,23,11,690
1,23,12,691
1,23,13,692
1,23,14,693
1,23,15,694
1,23,16,695
1,23,17,696
1,23,18,697
1,23,19,698
1,23,20,699
1,23,21,700
1,23,22,701
1,23,23,702
1,23,24,703
1,23,25,704
1,23,26,705
1,23,27,706
1,23,28,707
1,23,29,708
1,23,30,709
1,23,31,710
1,23,32,711
1,23,33,712
1,23,34,713
1,23,35,714
1,23,36,715
1,23,37,716
1,23,38,717
1,23,39,718
1,23,40,719
1,23,41,720
1,23,42,721
1,23,43,722
1,23,44,723
1,23,45,724
1,23,46,725
1,23,47,726
1,23,48,727
1,23,49,728
1,23,50,729
1,23,51,730
1,23,52,731
1,23,53,732
1,23,54,733
1,23,55,734
1,23,56,735
1,23,57,736
1,23,58,737
1,23,59,738
1,23,60,739
1,23,61,740
1,23,62,741
1,23,63,742
1,23,64,743
1,23,65,744
1,23,66,745
1,24,1,746
1,24,2,747
1,24,3,748
1,24,4,749
1,24,5,750
1,24,6,751
1,24,7,752
1,24,8,753
1,24,9,754
1,24,10,755
1,24,11,756
1,24,12,757
1,24,13,758
1,24,14,759
1,24,15,760
1,24,16,761
1,24,17,762
1,24,18,763
1,24,19,764
1,24,20,765
1,24,21,766
1,24,22,767
1,24,23,768
1,24,24,769
1,24,25,770
1,24,26,771
1,24,27,772
1,24,28,773
1,24,29,774
1,24,30,775
1,24,31,776
1,24,32,777
1,24,33,778
1,24,34,779
1,24,35,780
1,24,36,781
1,24,37,782
1,24,38,783
1,24,39,784
1,24,40,785
1,24,41,786
1,24,42,787
1,24,43,788
1,24,44,789
1,24,45,790
1,24,46,791
1,24,47,792
1,24,48,793
1,24,49,794
1,24,50,795
1,24,51,796
1,24,52,797
1,25,1,798
1,25,2,799
1,25,3,800
1,25,4,801
1,25,5,802
1,26,1,803
1,26,2,804
1,26,3,805
1,26,4,806
1,26,5,807
1,26,6,808
1,26,7,809
1,26,8,810
1,26,9,811
1,26,10,812
1,26,11,813
1,26,12,814
1,26,13,815
1,26,14,816
1,26,15,817
1,26,16,818
1,26,17,819
1,26,18,820
1,26,19,821
1,26,20,822
1,26,21,823
1,26,22,824
1,26,23,825
1,26,24,826
1,26,25,827
1,26,26,828
1,26,27,829
1,26,28,830
1,26,29,831
1,26,30,832
1,26,31,833
1,26,32,834
1,26,33,835
1,26,34,836
1,26,35,837
1,26,36,838
1,26,37,839
1,26,38,840
1,26,39,841
1,26,40,842
1,26,41,843
1,26,42,844
1,26,43,845
1,26,44,846
1,26,45,847
1,26,46,848
1,26,47,849
1,26,48,850
1,27,1,851
1,27,2,852
1,27,3,853
1,27,4,854
1,27,5,855
1,27,6,856
1,27,7,857
1,27,8,858
1,27,9,859
1,27,10,860
1,27,11,861
1,27,12,862
1,28,1,863
1,28,2,864
1,28,3,865
1,28,4,866
1,28,5,867
1,28,6,868
1,28,7,869
1,28,8,870
1,28,9,871
1,28,10,872
1,28,11,873
1,28,12,874
1,28,13,875
1,28,14,876
1,29,1,877
1,29,2,878
1,29,3,879
1,30,1,880
1,30,2,881
1,30,3,882
1,30,4,883
1,30,5,884
1,30,6,885
1,30,7,886
1,30,8,887
1,30,9,888
1,31,1,889
1,32,1,890
1,32,2,891
1,32,3,892
1,32,4,893
1,33,1,894
1,33,2,895
1,33,3,896
1,33,4,897
1,33,5,898
1,33,6,899
1,33,7,900
1,34,1,901
1,34,2,902
1,34,3,903
1,35,1,904
1,35,2,905
1,35,3,906
1,36,1,907
1,36,2,908
1,36,3,909
1,37,1,910
1,37,2,911
1,38,1,912
1,38,2,913
1,38,3,914
1,38,4,915
1,38,5,916
1,38,6,917
1,38,7,918
1,38,8,919
1,38,9,920
1,38,10,921
1,38,11,922
1,38,12,923
1,38,13,924
1,38,14,925
1,39,1,926
1,39,2,927
1,39,3,928
1,39,4,929
1,40,1,930
1,40,2,931
1,40,3,932
1,40,4,933
1,40,5,934
1,40,6,935
1,40,7,936
1,40,8,937
1,40,9,938
1,40,10,939
1,40,11,940
1,40,12,941
1,40,13,942
1,40,14,943
1,40,15,944
1,40,16,945
1,40,17,946
1,40,18,947
1,40,19,948
1,40,20,949
1,40,21,950
1,40,22,951
1,40,23,952
1,40,24,953
1,40,25,954
1,40,26,955
1,40,27,956
1,40,28,957
1,41,1,958
1,41,2,959
1,41,3,960
1,41,4,961
1,41,5,962
1,41,6,963
1,41,7,964
1,41,8,965
1,41,9,966
1,41,10,967
1,41,11,968
1,41,12,969
1,41,13,970
1,41,14,971
1,41,15,972
1,41,16,973
1,42,1,974
1,42,2,975
1,42,3,976
1,42,4,977
1,42,5,978
1,42,6,979
1,42,7,980
1,42,8,981
1,42,9,982
1,42,10,983
1,42,11,984
1,42,12,985
1,42,13,986
1,42,14,987
1,42,15,988
1,42,16,989
1,42,17,990
1,42,18,991
1,42,19,992
1,42,20,993
1,42,21,994
1,42,22,995
1,42,23,996
1,42,24,997
1,43,1,998
1,43,2,999
1,43,3,1000
1,43,4,1001
1,43,5,1002
1,43,6,1003
1,43,7,1004
1,43,8,1005
1,43,9,1006
1,43,10,1007
1,43,11,1008
1,43,12,1009
1,43,13,1010
1,43,14,1011
1,43,15,1012
1,43,16,1013
1,43,17,1014
1,43,18,1015
1,43,19,1016
1,43,20,1017
1,43,21,1018
1,44,1,1019
1,44,2,1020
1,44,3,1021
1,44,4,1022
1,44,5,1023
1,44,6,1024
1,44,7,1025
1,44,8,1026
1,44,9,1027
1,44,10,1028
1,44,11,1029
1,44,12,1030
1,44,13,1031
1,44,14,1032
1,44,15,1033
1,44,16,1034
1,44,17,1035
1,44,18,1036
1,44,19,1037
1,44,20,1038
1,44,21,1039
1,44,22,1040
1,44,23,1041
1,44,24,1042
1,44,25,1043
1,44,26,1044
1,44,27,1045
1,44,28,1046
1,45,1,1047
1,45,2,1048
1,45,3,1049
1,45,4,1050
1,45,5,1051
1,45,6,1052
1,45,7,1053
1,45,8,1054
1,45,9,1055
1,45,10,1056
1,45,11,1057
1,45,12,1058
1,45,13,1059
1,45,14,1060
1,45,15,1061
1,45,16,1062
1,46,1,1063
1,46,2,1064
1,46,3,1065
1,46,4,1066
1,46,5,1067
1,46,6,1068
1,46,7,1069
1,46,8,1070
1,46,9,1071
1,46,10,1072
1,46,11,1073
1,46,12,1074
1,46,13,1075
1,46,14,1076
1,46,15,1077
1,46,16,1078
1,47,1,1079
1,47,2,1080
1,47,3,1081
1,47,4,1082
1,47,5,1083
1,47,6,1084
1,47,7,1085
1,47,8,1086
1,47,9,1087
1,47,10,1088
1,47,11,1089
1,47,12,1090
1,47,13,1091
1,48,1,1092
1,48,2,1093
1,48,3,1094
1,48,4,1095
1,48,5,1096
1,48,6,1097
1,49,1,1098
1,49,2,1099
1,49,3,1100
1,49,4,1101
1,49,5,1102
1,49,6,1103
1,50,1,1104
1,50,2,1105
1,50,3,1106
1,50,4,1107
1,51,1,1108
1,51,2,1109
1,51,3,1110
1,51,4,1111
1,52,1,1112
1,52,2,1113
1,52,3,1114
1,52,4,1115
1,52,5,1116
1,53,1,1117
1,53,2,1118
1,53,3,1119
1,54,1,1120
1,54,2,1121
1,54,3,1122
1,54,4,1123
1,54,5,1124
1,54,6,1125
1,55,1,1126
1,55,2,1127
1,55,3,1128
1,55,4,1129
1,56,1,1130
1,56,2,1131
1,56,3,1132
1,57,1,1133
1,58,1,1134
1,58,2,1135
1,58,3,1136
1,58,4,1137
1,58,5,1138
1,58,6,1139
1,58,7,1140
1,58,8,1141
1,58,9,1142
1,58,10,1143
1,58,11,1144
1,58,12,1145
1,58,13,1146
1,59,1,1147
1,59,2,1148
1,59,3,1149
1,59,4,1150
1,59,5,1151
1,60,1,1152
1,60,2,1153
1,60,3,1154
1,60,4,1155
1,60,5,1156
1,61,1,1157
1,61,2,1158
1,61,3,1159
1,62,1,1160
1,62,2,1161
1,62,3,1162
1,62,4,1163
1,62,5,1164
1,63,1,1165
1,64,1,1166
1,65,1,1167
1,66,1,1168
1,66,2,1169
1,66,3,1170
1,66,4,1171
1,66,5,1172
1,66,6,1173
1,66,7,1174
1,66,8,1175
1,66,9,1176
1,66,10,1177
1,66,11,1178
1,66,12,1179
1,66,13,1180
1,66,14,1181
1,66,15,1182
1,66,16,1183
1,66,17,1184
1,66,18,1185
1,66,19,1186
1,66,20,1187
1,66,21,1188
1,66,22,1189
